技術スキル,その他特徴,金額,要約
"ネットワーク, FW, L3, L2, AP, 無線LAN, Windows, Linux, 仮想基盤","期間: 2026年1月～2026年3月 (スライド可能性あり), 場所: 飯田橋 (週2～3回リモート可), 募集人数: 1名, 商流制限: 貴社まで, 外国籍不可, 個人事業主相談可, 年齢制限: ～45歳, 客先対応あり (虎ノ門)",～65万,ネットワーク更改案件における設計構築要員募集。詳細設計～、飯田橋、週2～3リモート可。単金～65万。
"Azure, 仮想基盤, ネットワーク, Fortigate, Cisco, Alaxla, クラウド移行","週2出社（水・金）, 即日開始, 長期, 1名, 外国籍不可, 貴社まで",80万程度,Azureネットワーク／VM詳細設計支援（オンプレ共存環境）。Azure環境でのNW詳細設計、VM設定、オンプレ共存要件整理、リソース設計、ドキュメント作成、調整業務。
"Linux, RHEL, Oracle DB, Apache, Tomcat, WebSphere, Java, OpenJDK, Spring MVC, TERASOLUNA, FINALUNA, Struts, 仮想基盤","コンプライアンスWAN更改, マイグレーション, 西葛西常駐, 2026年1月～7月末, 1名募集, 面談2回, 55歳まで, 自走できる方, コミュニケーション能力, リーダー経験",75～80万円,"GFD社からのコンプライアンスWAN更改案件。RHEL, Oracle, Apache, Tomcat, Java等のマイグレーション作業。Linux設計構築経験必須。西葛西常駐、2026年1月～7月末、単価75～80万円。自走できる方を募集。"
"Linux, RHEL, Oracle DB, Apache, Tomcat, WebSphere, Java, Spring MVC, TERASOLUNA, 仮想基盤, ミドルウェア","場所:西葛西(常駐), 期間:2026年1月～7月末, 募集人数:1名, 面談:2回, 商流:元請け→上位→GFD, 年齢制限:55歳まで, 外国籍制限:不可, 自走・コミュニケーション能力重視, 精算:140-180, サイト:45日, 就業時間:9:30～18:00",75～80万円,"コンプライアンスWAN更改案件。仮想基盤上のOS・ミドルウェア設定、データ移行。RHEL, Oracle DB, Apache, Tomcat, Java等のマイグレーション。Linux設計構築経験が最重要。西葛西常駐、2026年1月～7月末、単価75～80万円。"
"Linux, RHEL, Oracle DB, Apache, Tomcat, Java, Spring MVC, TERASOLUNA, 仮想基盤, ミドルウェア",コンプライアンスWAN更改案件。仮想基盤上のOS・ミドルウェア設定、データ移行、マイグレーション業務。西葛西常駐。2026年1月～7月末。募集1名。面談2回。年齢55歳まで。外国籍不可。自走できる方、リーダー経験尚可。,75～80万円,"コンプライアンスWAN更改案件。仮想基盤上のOS・ミドルウェア設定、データ移行、マイグレーション業務（RHEL, Oracle DB, Apache, Tomcat, Java等）。Linux設計構築経験必須。西葛西常駐、2026年1月～7月末。単価75～80万円。面談2回。自走できる方、リーダー経験尚可。"
"Linux, RHEL, Oracle DB, Apache, Tomcat, WebSphere, Java, Spring, TERASOLUNA, 仮想基盤, ミドルウェア","期間: 2026年1月～7月末, 場所: 西葛西(常駐), 面談: 2回(web・対面未定), 商流: 元請け→上位→GFD, 年齢制限: 55歳まで, 外国籍制限: 不可, 特徴: 自走してコミュニケーションが取れる方, 指示待ち不可, 要件要望を抽出し解決できる方, 健康面で不安のない方",75～80万円,"コンプライアンスWAN更改案件。株式市場での不正行為情報共有システムにおける基盤更改。仮想基盤上のOS・ミドルウェア設定、データ移行、既存ソースのマイグレーション（RHEL, Oracle DB, Apache, Tomcat, Java, Springなど）。必須スキルはLinux設計構築経験、仮想基盤上のOS・ミドルウェア設定経験。期間は2026年1月～7月末、場所は西葛西。単価75～80万円。募集1名。"
"Linux, RHEL, Oracle, Apache, Tomcat, WebSphere, Java, Spring, Struts, TERASOLUNA, FINALUNA, 仮想基盤","西葛西常駐, 2026年1月～7月末, 1名, 面談2回, 55歳まで, 外国籍不可, 自走可能, コミュニケーション能力, リーダー経験",75～80万円,コンプライアンスWAN更改案件。仮想基盤上のOS・ミドルウェア設定、データ移行。RHEL、Oracle、Apache、Tomcat、Java等のマイグレーション。Linux設計構築経験、仮想基盤上のOS・ミドルウェア設定経験必須。西葛西常駐、2026年1月～7月末、単価75～80万円。
"Linux, RHEL, Oracle, Apache, Tomcat, WebSphere, Java, Spring MVC, 仮想基盤, ミドルウェア","案件名: コンプライアンスWAN更改
業務内容: 仮想基盤上のOS・ミドルウェア設定、データ移行。株式市場での不正行為情報共有システム基盤更改。
場所: 西葛西（常駐）
期間: 2026年1月～7月末
精算: 140-180
募集人数: 1名
就業時間: 9:30～18:00
面談: 2回（Web・対面未定）
商流: 元請け→上位→GFD
年齢制限: 55歳まで
商流制限: 貴社所属まで
外国籍制限: 不可
必須要件: Linux設計構築経験（最重要）、仮想基盤上のOS・ミドルウェア設定経験、自走してコミュニケーションが取れる方。
備考: 自発的にコミュニケーションが取れ、自走できる方。",75～80万円,株式市場の不正行為情報共有システム基盤更改案件。RHEL、Oracle、Apache、Tomcat、Java等のマイグレーション作業。Linux設計構築経験と仮想基盤上のOS・ミドルウェア設定経験を持つ、自走できるエンジニアを募集。西葛西常駐、2026年1月～7月末、単価75～80万円。
"ネットワーク設計構築, 無線LAN, FW, L3, L2, AP, Windows, Linux, 仮想基盤","官公庁向け, リモート併用(週2～3日), フレックス可, 面談1回(Web), 45歳まで, 外国籍不可, 商流不問(浅め希望)",65万円程度（スキル見合い）,官公庁向けネットワーク更改プロジェクトにおける設計・構築支援案件。NW機器の設計・構築・試験、現地対応、ベンダー調整を担当。飯田橋勤務（週2～3日リモート）、単価65万円程度、面談1回、45歳まで。
"Azure詳細設計, 仮想基盤, ネットワーク, Fortigate, Cisco, Alaxla, クラウド移行","週3リモート, 大崎エリア, 即日開始, 長期, 募集1名, 外国籍不可, 弊社交代枠, 面談1回",スキル見合い（80万程度）,Azureネットワーク／VM詳細設計支援（オンプレ共存環境）の案件。Azure詳細設計、仮想基盤経験必須。週3リモート、大崎エリア。単価目安80万。
"Linux, RHEL, Oracle DB, Apache, Tomcat, WebSphere, Java, Spring MVC, TERASOLUNA, FINALUNA, Struts, 仮想基盤","西葛西常駐, 2026年1月～7月末, 募集1名, 面談2回, 商流制限あり(貴社所属まで), 55歳まで, 外国籍不可, 自走・コミュニケーション能力重視",75～80万円,"コンプライアンスWAN更改案件。仮想基盤上のOS・ミドルウェア設定、データ移行、マイグレーション作業。RHEL, Oracle, Apache, Tomcat, Java等のスキルが必須。Linux設計構築経験が最重要。西葛西常駐、2026年1月～7月末、単価75～80万円。自走・コミュニケーション能力重視。"
"Linux, RHEL, Oracle DB, Apache, Tomcat, WebSphere, FINALUNA, Struts, TERASOLUNA, Spring MVC, Java, OpenJDK, 仮想基盤, OS, ミドルウェア","常駐(西葛西), 2026年1月～7月末, 募集1名, 面談2回, 商流(元請け→上位→GFD), 55歳まで, 外国籍不可, 自走できる方, コミュニケーション能力, 健康面不安なし",75～80万円,"コンプライアンスWAN更改案件。仮想基盤上のOS・ミドルウェア設定、データ移行、既存システムのマイグレーション（RHEL5.9⇒RHEL8/9, Oracle 11gR2⇒19c/21c, IBM HTTP ServerV8.5⇒Apache2.4.x, WebSphere V8.5⇒Tomcat 9.x, FINALUNA+struts 1.1⇒TERASOLUNA+Spring MVC, IBM JAVA1.7⇒OpenJDK 17）。Linux設計構築経験、仮想基盤上のOS・ミドルウェア設定経験、自走してコミュニケーションが取れる方が必須。"
"Linux (RHEL), Oracle DB, Apache, Tomcat, WebSphere, Java (OpenJDK), Spring MVC, Struts, TERASOLUNA, FINALUNA, 仮想基盤",コンプライアンスWAN更改プロジェクトにおける基盤更改・マイグレーション業務。西葛西常駐、2026年1月～7月末、募集1名。自走・コミュニケーション能力重視。年齢55歳まで、外国籍不可。商流制限あり。リーダー経験尚可。,75～80万円,GFDからのインフラ案件。コンプライアンスWAN更改プロジェクトにおける基盤更改・マイグレーション業務。Linux設計構築経験必須。西葛西常駐、2026年1月～7月末、単価75～80万円。自走・コミュニケーション能力重視。リーダー経験ある方歓迎。
"Linux, RHEL, Oracle DB, Apache, Tomcat, WebSphere, Java, Spring MVC, TERASOLUNA, FINALUNA, Struts, 仮想基盤","コンプライアンスWAN更改, 基盤更改, マイグレーション, 西葛西常駐, 2026年1月～7月末, 1名募集, 9:30～18:00, 面談2回, 商流元請け→上位→GFD, 55歳まで, 貴社所属まで, 外国籍不可, 自走できる方, コミュニケーション能力, リーダー経験","単価: 75～80万円, 精算: 140-180","GFD社からのインフラ案件募集。コンプライアンスWAN更改における基盤更改・マイグレーション業務。RHEL, Oracle, Apache, Tomcat, Java等のスキルが必須で、特にLinux設計構築経験が最重要。西葛西常駐、2026年1月～7月末、単価75～80万円。自走できコミュニケーション能力のある方を募集。"
"C++, C#, WPF, 外部設計, 画面設計, ビジネスロジック, 結合テスト, Windowsデスクトップアプリケーション開発, Backlog, Redmine, Git, GitHub, 仮想環境, 要件定義","フルリモート, フリーランス可, 長期, コミュニケーション良好, 勤怠良好, 外国籍不可, オフィスカジュアル, エンド直",60万円程度,Windowsデスクトップアプリケーション開発（エンド製品）、要件定義～テストまでの一連の開発工程、実現可能性調査、仮説検証
"仮想デスクトップ系ソリューション運用・構築, Windowsクライアント運用・構築, バッチ系スクリプト, PowerShell, Windowsサーバ構築, 仮想化基盤運用・構築, クライアント管理ツール, Active Directory, 障害対応","外国籍可, 大規模ユーザー環境, クライアント基盤運用・保守/更改, 長期安定, 神谷町, 即日～長期, 2名募集, 休日作業・夜間作業可能性あり, 国籍・年齢不問, エンド直案件",スキル見合い（75万）,【注力案件】外国籍可。大規模ユーザー環境のクライアント基盤運用・保守/更改案件。仮想デスクトップやWindowsクライアントの運用・構築経験を活かせる長期安定案件。神谷町勤務、即日～長期、2名募集、単価75万目安。
"Linux, RHEL, Oracle DB, Apache, Tomcat, WebSphere, Java, Spring MVC, Struts, TERASOLUNA, 仮想基盤","期間: 2026年1月～7月末
場所: 西葛西 (常駐)
面談: 2回 (Web・対面未定)
募集人数: 1名
年齢制限: 55歳まで
商流制限: 貴社所属まで
外国籍制限: 不可
必須要件: Linux設計構築経験 (最重要), 仮想基盤上のOS・ミドルウェア設定経験, 自走してコミュニケーションが取れる方
備考: 自発的にコミュニケーションが取れ、自走できる方 (指示待ち不可), 要件要望を抽出し解決できる方, 健康面で不安のない方
商流: 元請け→上位→GFD
精算: 140-180
サイト: 45日
就業時間: 9:30～18:00",75～80万円,コンプライアンスWAN更改案件。株式市場での不正行為情報共有システムにおける基盤更改で、仮想基盤上のOS・ミドルウェア設定、データ移行を担当。RHEL、Oracle DB、Apache、Tomcat、Javaなどのマイグレーションが主な業務。Linux設計構築経験が最重要。西葛西常駐、2026年1月～7月末までの期間で、単価は75～80万円。
"Linux, RHEL, Oracle DB, Apache, Tomcat, Java, Spring MVC, 仮想基盤","常駐, 西葛西, 2026年1月～7月末, 1名募集, 面談2回, 55歳まで, 外国籍不可, 自走できる方, コミュニケーション能力, 健康面不安なし, 商流：元請け→上位→GFD",75～80万円,GFDからのインフラ案件。コンプライアンスWAN更改における仮想基盤上のOS・ミドルウェア設定、データ移行、マイグレーション業務。Linux設計構築経験が必須で、自走できる方を募集。期間は2026年1月～7月末、単価は75～80万円。
"Linux, RHEL, Oracle DB, Apache, Tomcat, WebSphere, Java, Spring MVC, TERASOLUNA, Struts, 仮想基盤","西葛西常駐, 2026年1月～7月末, 1名募集, 単価75～80万円, 精算140-180, サイト45日, 就業時間9:30～18:00, 面談2回, 商流元請け→上位→GFD, 55歳まで, 外国籍不可, 自走可能でコミュニケーション能力が高い方, リーダー経験尚可",75～80万円,株式市場の不正行為情報共有システムにおけるコンプライアンスWAN更改案件。仮想基盤上のOS・ミドルウェア設定、データ移行、既存システムのマイグレーション（OS、DB、APサーバ、Webサーバ、フレームワーク、Javaのバージョンアップ）が主な業務。Linux設計構築経験が最重要で、自走できる方を募集。
"Linux, RHEL, Oracle DB, Apache, Tomcat, WebSphere, Java, OpenJDK, Spring MVC, TERASOLUNA, 仮想基盤","期間: 2026年1月～7月末, 場所: 西葛西常駐, 面談: 2回, 募集人数: 1名, 年齢制限: 55歳まで, 商流制限: 貴社所属まで, 外国籍不可, 自走できる方, コミュニケーション能力, リーダー経験尚可, 商流: 元請け→上位→GFD, 精算: 140-180, サイト: 45日, 就業時間: 9:30～18:00",75～80万円,"コンプライアンスWAN更改案件。株式市場での不正行為情報共有システムにおける基盤更改。仮想基盤上のOS・ミドルウェア設定、データ移行。既存ソースのマイグレーション（ミドルバージョンアップ・フレームワーク変更）。RHEL, Oracle DB, Apache, Tomcat, Java等のバージョンアップ作業。Linux設計構築経験が最重要。"
"インフラ全般, ネットワーク設計構築, サーバ構築(Dell, HPE), 仮想化(VMware), データベース(PostgreSQL, Microsoft SQLServer), OS(Windows, RHEL), Webサーバ(Apache, Tomcat), ストレージ(NetApp, PowerStore), ネットワーク機器(Cisco, Fortigate, Juniper, NEC, Apresia), セキュリティ製品(Netskope, Tanium, Intune, Entra ID, Cohesity, DataDog)","複数案件募集（インフラ、NW、セキュリティ、仮想基盤）, 作業場所（赤坂、大阪、東京）, 作業期間（即日～、2月～、3月～）, リモート併用案件あり, 出張あり案件あり, 募集人数各1名, 所属先（正社員/契約社員、不問）, 外国籍不可（一部ネイティブレベルなら要検討）, 能動的な姿勢, 顧客折衝, PM/PL経験尚可",スキル見合い,株式会社インフロントからのインフラ・ネットワーク関連の複数案件募集。北陸エリア顧客向け基盤提案/実行、物流会社向けNW設計構築支援、金融機関向けオンプレ仮想基盤更改およびセキュリティ強化の3案件。いずれも即戦力となるエンジニアを求めており、作業場所は赤坂、大阪、東京など。リモート併用や出張の可能性あり。単価はスキル見合い。
"Linux, RHEL, Oracle DB, Apache, Tomcat, FINALUNA, Struts, TERASOLUNA Server Framework for Java, Spring MVC, Java, OpenJDK, 仮想基盤",リーダー経験、Linux設計構築経験最重要、仮想基盤上のOS・ミドルウェア設定経験、自走・コミュニケーション能力、西葛西常駐、2026年1月～7月末、精算140-180、募集1名、サイト45日、就業9:30-18:00、面談2回、商流元請け→上位→GFD、年齢55歳まで、商流制限貴社所属まで、外国籍不可,75～80万円,コンプライアンスWAN更改案件。仮想基盤上のOS・ミドルウェア設定、データ移行業務。RHEL、Oracle、Apache、Tomcat、Java等のマイグレーション経験者を募集。特にLinux設計構築経験が最重要で、自走できる方を希望。西葛西常駐、2026年1月～7月末までの期間で、単価は75～80万円。面談は2回。
"Linux, RHEL, Oracle DB, Apache, Tomcat, WebSphere, Java, Spring MVC, Struts, 仮想基盤","期間: 2026年1月～7月末, 場所: 西葛西（常駐）, 面談: 2回, 募集人数: 1名, 年齢制限: 55歳まで, 外国籍制限: 不可, 商流制限: 貴社所属まで, 必須要件: Linux設計構築経験（最重要）、仮想基盤上のOS・ミドルウェア設定経験、自走してコミュニケーションが取れる方, 備考: 自発的にコミュニケーションが取れ、自走できる方、健康面で不安のない方, 商流: 元請け→上位→GFD, 精算: 140-180, サイト: 45日",75～80万円,"コンプライアンスWAN更改案件。仮想基盤上のOS・ミドルウェア設定、データ移行、マイグレーション作業（RHEL, Oracle, Apache, Tomcat, Java, Spring, Struts）。Linux設計構築経験が最重要。西葛西常駐、2026年1月～7月末。単価75～80万円。自走できる方を募集。"
"Linux, RHEL, Oracle DB, Apache, Tomcat, WebSphere, Java, Spring MVC, TERASOLUNA, FINALUNA, Struts, 仮想基盤","期間: 2026年1月～7月末, 場所: 西葛西(常駐), 面談: 2回, 募集人数: 1名, 商流: 元請け→上位→GFD, 年齢制限: 55歳まで, 外国籍不可, 自走・コミュニケーション能力重視",75～80万円,"コンプライアンスWAN更改案件で、Linux設計構築経験と仮想基盤上のOS・ミドルウェア設定経験を持つエンジニアを募集。RHEL, Oracle, Apache, Tomcat, Java等のマイグレーション作業。西葛西常駐、2026年1月～7月末、単価75～80万円。"
"ネットワーク設計構築（FW, L3, L2, AP, 無線LAN）、Windows, Linux, 仮想基盤",官公庁向け、飯田橋/リモート（週2～3回）、期間：2026年1月～3月（スライド可能性あり）、募集1名、商流制限：貴社まで、外国籍不可、個人事業主相談可、～45歳まで、月数回の客先対応あり（虎ノ門）,～65万,行政機関向けネットワーク更改案件における設計構築要員募集。飯田橋またはリモート（週2～3回）。単金～65万。期間2026年1月～3月。ネットワーク詳細設計・構築・試験経験必須。
,"開発リーダー募集, テナント家賃保証・事業用物件マッチングサイト運営, エンジニア提案時の事前確認あり",,ライトアーム株式会社の青谷様より、テナント家賃保証・事業用物件マッチングサイトの「開発リーダー」募集案件。エンジニアの紹介を求めており、案件の詳細情報（スキル、場所、期間、金額など）はテンプレート形式で提示されている。エンジニア提案時の事前確認事項も記載。
"MySQL, RDBMS, JobScheduler, bash","天王洲アイル常駐, 2025年2月開始, 1名募集, 外国籍不可",スキル見合い,通信キャリア向けERPシステムDBサーバリプレイスに伴うMySQLデータ移行対応。旧DBからのdump/restore、ジョブ構築、動作確認、エラー調査・切り分け。
"Typescript, Java",製造業向け、募集人数10名、勤務地: 日本大通り、Typescript重視の注力案件,,TypescriptとJavaスキルを持つエンジニア10名の募集案件。製造業向けで、日本大通りでの勤務。要員の提案を求めている。
"Java, Kotlin, React, TypeScript, Spring Boot, AWS","テックリード, フルリモート, 2026年1月開始, Web開発実務5年以上, コードレビュー経験, 技術選定経験, 事業会社人格, 商流貴社まで(事業主可), 外国籍不可, 就職活動支援サービスバックエンド開発, モバイル/Webアプリ開発, フレックス勤務, 清算幅140-180h, 支払いサイト35日, 面談2回",～95万円（スキル見合いで上振れ交渉可）,就職活動支援サービスのバックエンド開発業務におけるテックリード募集。Java/Kotlin/React/TypeScript/AWS等のスキルが必須で、Web開発実務5年以上、テックリード経験、技術選定経験が求められる。フルリモートで2026年1月開始、月額～95万円。
"Java, PostgreSQL, 外部設計, 要件定義",システム再構築案件、名古屋駅周辺（リモート週半分）、1月末or2月～、SEクラス、募集1名、弊社プロパー参画中、四日市/鈴鹿への同行可能性あり,スキル見合い（経験年数・経験内容により要相談）、140-180h,Javaを用いたシステム再構築案件で、外部設計以降の経験を持つSEクラスの技術者を募集。名古屋駅周辺での作業が主で、リモートも週半分程度可能。単価はスキル見合い。
"JavaScript (AngularJS, Bootstrap), HTML, CSS, ServiceNow開発 (設計～1年以上), ITSM, PM, チームリーダー, 英語, 中国語","稼働: 2月～, 場所: 六本木一丁目(常駐), 精算幅: 140-180h(中間割), 募集: 1-2名(リーダークラス1名), 外国籍: 不可(所属会社代表が中国籍の場合も提案不可), 年齢: 22-45歳(25-40歳がマッチしやすい), 商流: 貴社社員まで, 面談: 2回(2回目は対面＠六本木一丁目), 定時: 8:30-17:15, 備考: リーダーの素養、自発的な方、ServiceNowでの設計開発経験重視",スキル見合い(95万以上が不可),ServiceNowによるワークフローの構築、および、保守案件。ServiceNow開発経験1年以上必須。2月～、六本木一丁目。単価95万以下。リーダー素養のある自発的な方を希望。
"インフラPMO, 調達業務, システム構築支援, レビュー, 大規模情報システム, 官公庁案件","長期案件, 常駐(高井戸/三鷹), 募集1名, 清算140-180h, 面談2回, 商流貴社まで, 外国籍N1可, 50代前半まで, 喫煙不可",~75万円程度,某公共機関のシステム構築プロジェクトにおいて、お客様の立場からインフラ基盤に関する調達業務支援やシステム構築ベンダ成果物のレビューを行うPMO案件。2026年2月開始の長期案件で、単価は～75万円程度。
フロントエンド開発,Web申込・管理画面開発、注力案件、募集人数・人物像・希望年齢・英語力・外国籍などの条件あり、エンジニアの状況（介護、通院、精神疾患歴など）やNG企業、実績有無の事前確認あり,,Web申込・管理画面のフロントエンド開発案件の募集。エンジニアの提案を求めており、詳細な案件情報とエンジニアの事前確認事項が提示されている。
"Swift, Objective-C, Java",モバイルアプリ、アンケートアプリ、追加機能開発・保守、OIDC認証フロー対応、PL/PM経験歓迎、リモート併用（月1出社）、外国籍不可、50代まで,70万円程度（スキル見合い）,モバイルアプリの追加機能開発・保守案件。Swift/Objective-C/Java経験者で、OIDC認証フロー対応が中心。PL/PM経験歓迎。単価70万円程度、品川（リモート併用）。
"Access, VBA",某大手グループ向け、在庫管理ツール開発、注力案件、事前確認事項あり（介護、通院、精神疾患歴、実績有無、NG企業・条件）、要員提案時に並行と面談可能日時を要連絡,記載なし,某大手グループ向けの在庫管理ツール開発（Access/VBA）案件の募集。エンジニアの紹介を求めており、事前確認事項や提案時の連絡事項が記載されている。
開発経験（言語不問）、COBOL（抵抗なし）、バッチ処理、Linux（尚可）,案件名: システム開発支援（COBOL経験不問）、概要: 既存システム開発支援（COBOL開発、Linuxバッチ対応）、場所: 大森（常駐）、時期: 即日～長期、募集: 1名、面談: 2回、備考: 年齢55歳まで、外国籍不可、フリーランス可,～50万円（スキル見合い）,EBAテック株式会社からのシステム開発支援案件の募集。何かしらの開発・バッチ経験があり、COBOLに抵抗のない方を募集。大森常駐、即日～長期、単価～50万円。年齢55歳まで、外国籍不可。
"M365運用, Azure, AWS, Intune, Defender, Entra ID, SmartHR, MoneyForward, 英語でのコミュニケーション","案件名: 社内システム運用・管理支援 (M365, リモート), 勤務地: 虎ノ門 (基本リモート想定), 時期: 2026年1月中旬～ (長期), 募集人数: 1名, 面談回数: 1回, 稼働率: 100% (相談可), 英語でのコミュニケーション尚可",55〜65万円 (スキル見合い・100%換算),株式会社LeadからのM365を中心とした社内システム運用・管理支援案件の募集。M365、Azure/AWS、Intuneなどのスキルを持つエンジニアを求めており、基本リモート勤務が可能。単価は55〜65万円。
"HTML, CSS, JavaScript, jQuery, Photoshop, Illustrator, Figma, Webディレクション",週2リモート可（慣れてきたら）、大崎オフィス勤務、ポートフォリオ提出必須、社会人経験3年以上、PC貸与、外国籍不可、貴社まで（支援費対応可能な場合は1社先も可能）、作業期間：2026年1月～、精算：140-180h、面談1回,"450,000円～500,000円/月","Webデザイン＆コーディング案件。お客様提供素材を元に画像制作、画面デザイン、Webページ実装を担当。CMSツールのカスタマイズや運用、ディレクションの可能性あり。HTML, CSS, JavaScript, Photoshop, Figmaスキル必須。"
"PMO, マーケティングオートメーションツール, 英語","作業期間:即日または12月～, 作業場所:二子玉川近辺・フル出社, 契約:準委任, 想定稼働時間:160時間/月, 面談回数:1-2回, 備考:40歳前半まで, PC貸与あり, 外国籍不可",85万円/月程度,マーケティング領域におけるプロジェクト推進/企画メンバー募集。マーケティング関連プラットフォームの計画・戦略策定、社内外調整、プロジェクト推進をリードする。PMO経験2年程度が必須。マーケティングオートメーションツール運用経験、英語経験尚可。二子玉川駅近辺でのフル出社。
"React, TypeScript, JavaScript, HTML, CSS, Node.js, Java, PHP, RDB, Mongo, AWS",SaaSプロダクトのフロントエンド開発（設計/開発/テスト/運用）、大崎オフィス（週3出社/週2リモート）、45歳まで、PC貸与、外国籍不可、タスク進捗報告・業務相談を躊躇しない方,〜70万円/月（税抜）,91works株式会社からのSaaSフロントエンド開発案件。React/TypeScript必須。大崎オフィスでの週3日出社/週2日リモート。単価〜70万円。45歳までの方を募集。
"Salesforce Marketing Cloud, デジタルマーケティング, プロジェクトマネジメント, IT/マーケティング理解","オフィス常駐, フル出社, 能動的, コミュニケーション能力, 英語読み書き可能, エグゼクティブ報告経験, 即日～長期, 外国籍不可",80万円/月程度,大手通信会社におけるCRM導入（Salesforce）プロジェクトのPMO支援要員募集。ビジネス側の要件整理、技術チーム連携、報告資料作成など。
"Flutter, Dart, モバイルアプリ開発(Swift/Kotlin), Firebase, AWS, OpenAPI(Swagger)","フルリモート, 準委任, 週5日, 2026年秋まで, 外国籍NG, 年齢45歳まで",70万円,91works株式会社の自社サービス「生物情報プラットフォーム」のモバイルアプリ(Swift/Kotlin)をFlutterに移植するプロジェクトで、Flutterエンジニアを募集。フルリモート、単価70万円、2026年秋までの長期案件。外国籍NG、年齢45歳まで。
"Linux, DNS, 基本設計, 要件定義, リーダー経験",勤務地:赤坂見附(初期出社後フルリモート)、開始時期:2026/02、契約形態:準委任、時間幅:150-200h、年齢制限:50代まで、外国籍不可、募集人数:1-2名、面談1回、商流2社下まで、通信会社向け基盤構築支援、SEポジション,"700,000円〜750,000円/月",Linux/SE/サーバーエンジニアとして、通信会社向けの基盤構築支援を行う案件。Linux/DNSサーバーやクラウド環境の設計・構築・運用を担当。フルリモート可能（初期出社あり）。単金70-75万円。
"C#, 要件定義, メンバーマネジメント, アプリケーション開発, システムマイグレーション",大手造船業の人事システム刷新PJ、常駐(新高島)、年齢55歳まで、勤怠良好、1人月以下の案件との並行不可、面談2回、商流制限あり、精算固定、支払45日サイト,～100万円/月,大手造船業の人事システム刷新プロジェクトにおけるC#開発者の募集。要件定義、メンバーマネジメント、システムマイグレーション経験が必須。月額報酬～100万円。1月中旬開始。
"React (TypeScript), Python (Flask), AWS, PM/PL経験, システム開発実装経験, 基本設計, システムアーキテクト設計, ベンダーコントロール, ヘルスケア・医療業界知識, SaaS開発, オフショア開発マネジメント, Kubernetes (EKS), AWS CDK, UI/UXデザイン","期間: 即日-, 場所: 新潟県(フルリモート), 精算: 140-180h, 面談: WEB2回/弊社同席, 年齢: 48歳まで, 人数: 1名, 商流: 御社1社先まで, 外国籍不可, 長期（1年以上）勤務希望, 求められる人物像: 愛と情熱、行動力、コミュニケーションスキル、勤怠良好",スキル見合い,"医療系SaaS自社開発のベンダーコントロール/品質管理案件。PM/PLとして開発ベンダーコントロール、品質管理、プロジェクト推進を担当。React, Python, AWS等の経験が必須。フルリモート勤務可能。"
Java,エネルギー事業のCIS運用保守開発・開発支援。基幹システム開発経験、要件定義～リリース工程（上流工程）経験、ユーザーとの仕様調整経験が必須。山王駅周辺常駐、長期案件。募集人数1名。個人事業主NG。,スキル見合い,株式会社インフロントからの、エネルギー事業向けCIS運用保守開発・開発支援案件。Java開発経験3年以上、基幹システム開発経験、上流工程経験が必須。山王駅周辺常駐の長期案件で、単価はスキル見合い。
"VMware, AWS, クラウド移行, システム更改, 運用設計, PM","金融機関向け, 1名募集, 運用・移行チームリーダー/メンバー, リモート併用(週1-2出社), コミュニケーション能力",70～80万（スキル見合い）,株式会社ヘルスベイシスからの注力案件。金融機関向けシステム更改プロジェクトで、VMwareからAWSへのクラウド移行経験者を1名募集。運用・移行チームのリーダーまたはメンバーとして、移行設計、運用設計、試験立ち合いなどを担当。単価は70～80万円（スキル見合い）。リモート併用。
"仮想デスクトップ系ソリューション運用・構築, Windowsクライアント運用・構築, バッチ系スクリプト, PowerShell, Windowsサーバ構築, 仮想化基盤運用・構築, クライアント管理ツール, Active Directory, 障害対応","外国籍可, 大規模ユーザー環境のクライアント基盤運用・保守/更改案件, 長期安定案件, 勤務地:神谷町, 開始時期:即日～長期, 人数:2名, 国籍・年齢不問, 休日作業・夜間作業の可能性あり",スキル見合い（75万）,大規模ユーザー環境のクライアント基盤運用・保守/更改案件。仮想デスクトップやWindowsクライアントの運用・構築経験、Windowsサーバ構築経験が必須。神谷町勤務で即日～長期、2名募集。外国籍・年齢不問。
"仮想デスクトップ系ソリューション運用・構築, Windowsクライアント運用・構築, バッチ系スクリプト, PowerShell, Windowsサーバ構築, 仮想化基盤運用・構築, クライアント管理ツール知識, Active Directory知識, 障害対応経験","大規模ユーザー環境のクライアント基盤運用・保守／更改案件, 長期安定案件, 勤務地:神谷町, 開始時期:即日～長期, 人数:2名, 勤務時間:平日日勤帯（休日・夜間作業可能性あり）, 国籍・年齢不問, 外国籍可, エンド直案件",スキル見合い（75万）,大規模ユーザー環境のクライアント基盤運用・保守／更改案件。仮想デスクトップやWindowsクライアントの運用・構築経験を活かせる長期安定案件。神谷町勤務で、Windowsサーバ、仮想デスクトップ、PowerShell等のスキルが必須。単価はスキル見合い（75万）。外国籍・年齢不問で2名募集。
"PMO, 移行計画立案, データ移行, 金融システム, 移行関連業務経験","能動的な行動力, コミュニケーション能力, 作業場所:品川区オンサイトメイン, リモートは特別な事情がある場合のみ, 期間:即日～長期(初回1-2ヶ月契約), 精算:固定",90万まで（スキル見合い）,金融向けシステム移行推進業務のPMO/移行計画立案案件。移行関連業務経験必須。品川区オンサイトメインで長期協力予定。単価は90万円まで。
